#                 x                   p                 rho                 U_x                 U_y                 U_z
    0.0344946993988       4478468.72912       4.33343119083       199.062442582  -3.95667067055e-05   1.03918268312e-14
    0.0353159779559       4478414.21241       4.33335864273       199.132396771  -3.95667067049e-05   1.03964147536e-14
     0.036137256513       4478358.42269       4.33328508742       199.203926088  -4.68041980609e-05   1.03776411941e-14
    0.0369585350701       4478293.80842       4.33320453301       199.286374064  -4.68041980602e-05   1.03830485174e-14
    0.0377798136273       4478229.19416       4.33312397859       199.368822041  -4.68041980595e-05   1.03884558408e-14
    0.0386010921844       4478156.45404       4.33303701073       199.461258297  -5.52309887389e-05   1.54764208422e-14
    0.0394223707415       4478080.02366       4.33294713344       199.558230593  -5.52309887381e-05   1.54827807382e-14
    0.0402436492986       4478000.17481       4.33285454433       199.659375997  -6.49559841352e-05   1.55412591557e-14
    0.0410649278557       4477910.03285         4.332753781       199.773086652  -6.49559841342e-05   1.55487168315e-14
    0.0418862064128       4477819.89089       4.33265301766       199.886797307  -6.49559841332e-05   1.55561745072e-14
    0.0427074849699       4477716.95234       4.33254212773       200.016015347  -7.60777885541e-05   1.54875010124e-14
    0.0435287635271       4477611.03028       4.33242887958       200.148848854   -7.6077788553e-05    1.5496212854e-14
    0.0443500420842       4477498.39787       4.33231029875       200.289751468  -8.86852437699e-05   1.54553172575e-14
    0.0451713206413       4477374.46402       4.33218273061       200.444243784  -8.86852437686e-05    1.5465449585e-14
    0.0459925991984       4477250.53017       4.33205516246       200.598736099  -8.86852437672e-05   1.54755819125e-14
    0.0468138777555       4477107.54453       4.33191248176        200.77594005  -0.000102850075461   2.11274913864e-14
    0.0476351563126       4476963.21641       4.33176873863         200.9547443  -0.000102850075459   2.11392182041e-14
    0.0484564348697       4476807.53835       4.33161651985       201.146968243  -0.000118630807857   2.13009490491e-14
    0.0492777134269       4476640.31779       4.33145567819       201.352839417  -0.000118630807855   2.13144510421e-14
     0.050098991984        4476471.6315       4.33129359078       201.560427885  -0.000136050034554   2.14264822956e-14
    0.0509202705411       4476278.88161        4.3311110542       201.796208065  -0.000136050034552   2.14419458609e-14
    0.0517415490982       4476086.13172       4.33092851763       202.031988245   -0.00013605003455   2.14574094262e-14
    0.0525628276553        4475875.8803       4.33073233207       202.288065101  -0.000155145875954     2.157065702e-14
    0.0533841062124       4475654.85814       4.33052774832       202.556632726  -0.000155145875951    2.1588270939e-14
    0.0542053847695       4475428.22079       4.33031845729       202.831641087  -0.000175915102752    1.5652895791e-14
    0.0550266633267       4475176.11615       4.33008780492       203.135860096   -0.00017591510275   1.56728478943e-14
    0.0558479418838       4474924.01152       4.32985715255       203.440079104  -0.000175915102747   1.56927999975e-14
    0.0566692204409       4474646.72329       4.32960777564        203.77286081  -0.000198338265113   1.56297025183e-14
     0.057490498998       4474360.69112       4.32935190297       204.115559545   -0.00019833826511   1.56521783017e-14
    0.0583117775551       4474063.46872       4.32908666071       204.470805527  -0.000222390356378   1.56654481828e-14
    0.0591330561122       4473740.61384       4.32879993566       204.854791819  -0.000222390356375    1.5690631797e-14
    0.0599543346693       4473417.75895       4.32851321062       205.238778111  -0.000222390356371   1.57158154112e-14
    0.0607756132265       4473060.45633       4.32819967643       205.660878287  -0.000248027156911   1.57426881704e-14
    0.0615968917836       4472697.80115       4.32788198559       206.088900431  -0.000248027156907   1.57707598614e-14
    0.0624181703407       4472316.87363       4.32754966429       206.536872555  -0.000275217306574   1.58002461698e-14
    0.0632394488978        4471911.4396       4.32719770113       207.011600747   -0.00027521730657   1.58313810616e-14
    0.0640607274549       4471506.00557       4.32684573797       207.486328939  -0.000275217306566   1.58625159533e-14
     0.064882006012       4471055.25802       4.32645767951       208.009808482  -0.000303897689953   2.29527381313e-14
    0.0657032845691       4470603.99505       4.32606921918       208.533842268  -0.000303897689948   2.29871067142e-14
    0.0665245631263       4470125.81124       4.32565919041        209.08640012  -0.000334017287063   2.32490656228e-14
    0.0673458416834       4469625.63452        4.3252315254       209.662260175  -0.000334017287058   2.32868332145e-14
    0.0681671202405       4469119.62554       4.32479920148       210.244199381  -0.000365541605007   2.34171644213e-14
    0.0689883987976       4468567.37112       4.32433001591       210.874338546  -0.000365541605001   2.34584918904e-14
    0.0698096773547        4468015.1167       4.32386083035       211.504477711  -0.000365541604996   2.34998193596e-14
    0.0706309559118       4467425.59969       4.32336178185       212.172793224  -0.000398413266319    3.1458169661e-14
    0.0714522344689       4466818.02765       4.32284825015        212.85960605  -0.000398413266313   3.15032140535e-14
    0.0722735130261       4466196.65305       4.32232369441       213.560304141  -0.000432623650333   2.37828885084e-14
