#                 y                   p                 rho                 U_x                 U_y                 U_z
    0.0319829330544         88223.77902      0.162624600958       2423.91654894       221.640901187    -0.0244420233746
    0.0321374351464       88192.4462562      0.162555272871        2423.7698475        221.22206587     -0.020021424974
    0.0322919372385       88151.7948671      0.162468497557       2423.61780524       220.820015766    -0.0130795757697
    0.0324464393305        88111.143478      0.162381722244       2423.46576299       220.417965662   -0.00609189010877
    0.0326009414226       88078.7870008      0.162311392176       2423.27061572       220.393364572  -0.000840975502274
    0.0327554435146       88105.0504854       0.16235729171       2422.77094007       223.035957597   -0.00808963142413
    0.0329099456067         88131.31397      0.162403191243       2422.27126442       225.678550621    -0.0152857422171
    0.0330644476987       88157.5774546      0.162449090777       2421.77158877       228.321143645     -0.022455432932
    0.0332189497908       88158.7983938      0.162448447918        2421.2482342       231.085737514    -0.0225583726483
    0.0333734518828       88132.6235375      0.162396889074        2420.6989756       233.983796657    -0.0149304981972
    0.0335279539749       88106.4486812       0.16234533023         2420.149717         236.8818558   -0.00726724477445
    0.0336824560669       88082.0944004      0.162300677137       2419.56238723       239.588077116  -0.000341528306273
     0.033836958159       88092.2023562      0.162386651182       2418.25415574       238.663220678   -0.00832125898925
     0.033991460251       88102.3103119      0.162472625227       2416.94592425       237.738364239    -0.0162407056693
    0.0341459623431       88112.4182677      0.162558599272       2415.63769276       236.813507801    -0.0241335069831
    0.0343004644351       88085.5453375      0.162579738889       2414.26636186       235.945709607    -0.0212952827722
    0.0344549665272       88039.4836344      0.162567236988       2412.86228972       235.107517997    -0.0128889060254
    0.0346094686192       87993.4219312      0.162554735087       2411.45821758       234.269326387   -0.00441331162494
    0.0347639707113       87982.9804704      0.162876396362       2406.55956872       234.852429706    -0.0041051225621
    0.0349184728033       88012.1020161      0.163569089386       2397.77925082       237.014039797    -0.0128769007015
    0.0350729748954       88041.2235618       0.16426178241       2388.99893292       239.175649887    -0.0215731952693
    0.0352274769874       88052.2390078      0.164936245529       2380.05419163       241.419203993    -0.0245374801601
    0.0353819790795       88024.6059483      0.165571795872       2370.75847925       243.837672289    -0.0152664624525
    0.0355364811715       87996.9728888      0.166207346215       2361.46276686       246.256140584   -0.00593994935828
    0.0356909832636       87982.0915581      0.168024621525       2334.72670072       245.199900001   -0.00340082419114
    0.0358454853556       87989.8935169       0.17194322783       2276.96265706       237.961810266    -0.0130034050599
    0.0359999874477       87997.6954756      0.175861834136       2219.19861341       230.723720531    -0.0225206835605
    0.0361544895397       87981.7789242      0.179833015687       2160.00999792        223.36639577    -0.0236628312988
    0.0363089916318       87933.8691978      0.183875114383       2098.89982092       215.848238519    -0.0135080205658
    0.0364634937238       87885.9594714      0.187917213079       2037.78964392       208.330081268   -0.00326644355181
    0.0366179958159       87883.9702783      0.200297027148       1827.65172021       186.447106012   -0.00316067877605
    0.0367724979079       87904.0085074      0.216673139536       1546.04719144        157.67558055   -0.00784875634784
           0.036927       87924.0467365      0.233049251924       1264.44266267       128.904055089    -0.0125154715758
