x,rho_g,rho_p,u_g,u_p,p_g,T_p
0.574979423868,0.483001206245,0.507462104729,0.600034158165,0.299110873119,0.500019254833,0.945020010146
0.584979423868,0.468799030494,0.51842867933,0.602234259625,0.299842962629,0.494986032354,0.98413212333
0.594979423868,0.451884448453,0.531853243898,0.606187926272,0.299674313737,0.489102981794,1.02757319204
0.604979423868,0.433102778874,0.538917400372,0.610302575954,0.301027337805,0.483312462657,1.08278000113
0.614979423868,0.41162922045,0.547538830957,0.615191477369,0.301115495181,0.477003280537,1.137739699
0.624979423868,0.38647072882,0.556375694718,0.621176596584,0.302142720253,0.470170565357,1.20918730624
0.634979423868,0.35778734006,0.565633166112,0.626232230427,0.301257313567,0.463257493941,1.27824677301
0.644979423868,0.326444890367,0.57641303196,0.630118820811,0.299687728989,0.45579653909,1.34559449862
0.654979423868,0.297182909644,0.583134547094,0.632347669241,0.297000845499,0.448133476129,1.39508528268
0.664979423868,0.276216132123,0.590756778085,0.632182853278,0.294469195648,0.440258564906,1.42571625049
0.674979423868,0.264041079984,0.596226729046,0.629835184037,0.28981601939,0.432132844823,1.45398072262
0.684979423868,0.256810732202,0.598984273716,0.625954343047,0.281412321741,0.423325314244,1.45723285046
0.694979423868,0.251100727129,0.602164477763,0.621017530015,0.273524153092,0.414291325179,1.46177645003
0.704979423868,0.245538447664,0.600816481596,0.615929316273,0.264250380475,0.404904255679,1.46833121019
0.714979423868,0.239846908292,0.60147714334,0.610199086861,0.253656163689,0.395198196269,1.46738244744
0.724979423868,0.234206662533,0.595157770137,0.603462713489,0.240039682092,0.385036784849,1.45938289837
0.734979423868,0.22869978017,0.59145437123,0.595001521898,0.225737106138,0.374502812694,1.44487909362
0.744979423868,0.223172380362,0.586415286624,0.585315709374,0.209682881461,0.363537838904,1.43014621498
0.754979423868,0.217642928809,0.578017496195,0.574324784398,0.19169686038,0.352351276704,1.4138350713
0.764979423868,0.212025252241,0.569730499972,0.561883095654,0.17058700186,0.340823809255,1.38693061271
0.774979423868,0.20616752156,0.560302733781,0.547929316273,0.149168592526,0.329091798658,1.36063581534
0.784979423868,0.200276962967,0.549028397497,0.531047178851,0.127439715912,0.316965311989,1.32915348627
0.794979423868,0.193986314187,0.538868158503,0.5101289668,0.100735696973,0.304307987148,1.2954237078
0.804979423868,0.187008330985,0.529573755707,0.486792176315,0.0769408714278,0.291450989234,1.26502361761
0.814979423868,0.179476376754,0.519481224283,0.455975424159,0.0541272758018,0.277279071078,1.23363508258
0.824979423868,0.168647679387,0.51184873457,0.392728256581,0.0314784961389,0.256230607068,1.2060614396
0.834979423868,0.149827642185,0.503918741897,0.24665148526,0.0144800293106,0.218976968604,1.18426154106
0.844979423868,0.131149585705,0.501903928753,0.0676460176991,0.00430187700806,0.182307495632,1.17244890367
0.854979423868,0.125540116115,0.501390992616,0.0069452567499,0.00494945042557,0.17126703568,1.17008421171
0.864979423868,0.12502492306,0.499433628319,0.00125642297503,0.0014936813032,0.170339529902,1.16888653402
0.874979423868,0.12500235387,0.499090986979,0.000689724367285,0.000335561693253,0.170321510625,1.16944569077
0.884979423868,0.124925413449,0.500133273209,0.000506318696804,0.00105059466772,0.170391883208,1.16851135787
0.894979423868,0.12496644834,0.498709362494,0.000632038780227,0.000188185558875,0.170380438532,1.16729925032
0.904979423868,0.12502492306,0.499347455048,8.33549405332e-05,0.00065676117468,0.170341477932,1.16858350713
0.914979423868,0.124992915845,0.501181714672,0.000152156022772,0.00027576799504,0.170426217237,1.17087063863
0.924979423868,0.125133049997,0.499035589877,0.000219615579731,0.00175719519756,0.170350974579,1.16841756384
0.934979423868,0.125130587904,0.502297863706,9.83033650865e-05,0.00215179527648,0.170470047912,1.16951964376
0.944979423868,0.125134691393,0.500164049377,-0.000245318753171,-0.00100807169833,0.170440583958,1.16956654078
0.954979423868,0.125152336396,0.498887864269,-0.000545437123048,-0.000770046784285,0.17040235387,1.16611600248
0.964979423868,0.125148232907,0.49897403754,-0.00110542810439,-0.000236311369145,0.170416720591,1.16662826222
0.974979423868,0.125051390564,0.501382785638,-0.00117652894425,0.000251812186461,0.170515583113,1.1702609774
0.984979423868,0.125112942901,0.501185818161,-0.00109488754862,-0.00166311932811,0.170504138436,1.17079488191
0.994979423868,0.125093861676,0.500876004735,-0.000469928414407,0.000870255340736,0.170547969111,1.16957195198
