x_m,rho_exact,rhoP_exact,U_exact,Us_exact,p_exact,rho_numerical,rhoP_numerical,U_numerical,Us_numerical,p_numerical
1.555,1.0076625454648493,1.0084482082948378,0.00723683234694339,0.001195268134656053,1.010727563650789,1.0077038853751,1.01,0.0072913242900068,0.0012238659716228,1.0108089046996
1.565,1.0072935320542515,1.00771605125598,0.006878282645331382,0.0006413829223775006,1.010210944875952,1.0073365390162,1.0070000000000001,0.0069353080296755,0.00066673311047167,1.010292013458
1.575,1.0068957344047333,1.0069534424879432,0.006492587504506687,8.496646472430994e-05,1.0096540281666266,1.0069399717518,1.0070000000000001,0.006552412682254,0.00010638115057608,1.0097339439747
1.585,1.006470722441881,1.0061633916591322,0.006081269086982773,-0.00047178531674767904,1.0090590114186335,1.006515897661,1.006,0.0061440439158455,-0.00045397040096713,1.0091371436417
1.595,1.0060201734937426,1.0053490167392283,0.005645950678640123,-0.0010266751771126578,1.0084282428912397,1.0060667045753,1.004,0.0057103590740061,-0.0010123423547042,1.0085049972988
1.605,1.00554586567118,1.0045135316939882,0.005188350282358391,-0.001577513219596845,1.007764211939652,1.0055922440686,1.005,0.0052542705710845,-0.0015674622039153,1.0078373469099
1.615,1.0050496708504784,1.0036602338011882,0.004710273837843964,-0.00212212553810052,1.0070695391906697,1.0050957034923,1.003,0.0047759292036724,-0.0021160609455221,1.007138719538
1.625,1.004533547285905,1.0027924906377768,0.004213608094410975,-0.002658362796612265,1.0063469662002669,1.0045782279735,1.002,0.0042779212951757,-0.0026561615893732,1.0064107731938
1.635,1.0039995318813748,1.0019137267895857,0.0037003131648437907,-0.003184108711656203,1.0055993446339246,1.0040420199242,1.0010000000000001,0.0037623766519408,-0.0031856327323223,1.0056566430279
1.645,1.003449732151721,1.0010274103360548,0.003172414789727247,-0.0036972884042961334,1.0048296250124096,1.0034897605977,1.0010000000000001,0.0032307020850282,-0.0037029533363383,1.0048801432451
1.655,1.0028863179052974,1.0001370391633064,0.002631996342774104,-0.004195876588734708,1.0040408450674163,1.0029226516851,1.0,0.0026861837964645,-0.0042051109600969,1.0040830055732
1.665,1.0023115126807347,0.9992461271595878,0.0020811906087007835,-0.004677905565191219,1.0032361177530285,1.0023440837718,0.9989999999999899,0.0021299400486032,-0.0046908212005745,1.0032700229137
1.675,1.0017275849716507,0.9983581903475586,0.0015221713661004513,-0.0051414729855136995,1.002418618960311,1.0017558000613,0.9969999999999999,0.0015648798343712,-0.0051570591469925,1.0024436749937
1.685,1.0011368392739421,0.9974767330081561,0.0009571448085320855,-0.005584749360877918,1.0015915749835191,1.0011603045563,0.998,0.00099314481793007,-0.0056034098069219,1.0016075092911
1.695,1.0005416069909918,0.9966052338507992,0.000388340837682312,-0.0060059852819440394,1.0007582497873886,1.0005598524394,0.99600000000001,0.0004169649805641,-0.0060268578542492,1.0007647398183
1.705,0.9999442372326849,0.9957471322845123,-0.00018199573703774107,-0.006403518322976002,0.9999219321257589,0.99995682839551,0.99499999999999,-0.00016150709883999,-0.0064265151115024,0.99991877191387
1.715,0.9993470875445448,0.9949058148441479,-0.0007516140577296651,-0.006775779602676433,0.9990859225623627,0.99935156003547,0.995,-0.00074237934871208,-0.0068005528365282,0.99907012057474
1.725,0.9987525146035792,0.9940846018252818,-0.001318266101115515,-0.007121299975844337,0.9982535204450108,0.99874683149845,0.99300000000001,-0.001322846098554,-0.0071468335071413,0.99822270844993
1.735,0.9981628649175512,0.9932867341805229,-0.0018797155504587555,-0.007438715831420073,0.9974280108845718,0.9981502297282,0.9930000000000001,-0.0018944035017258,-0.0074643896710108,0.99738714118734
1.745,0.9975804655643866,0.9925153607289542,-0.0024337466212846844,-0.007726774474035194,0.9966126517901412,0.99756261666859,0.99199999999999,-0.0024565496743804,-0.0077522357689139,0.99656458809139
1.755,0.9970076150082592,0.9917735257291819,-0.00297817280606947,-0.007984339067828774,0.9958106610115629,0.99698303307027,0.992,-0.003010963473337,-0.0080091378178668,0.99575367106245
1.765,0.9964465740286036,0.9910641568650378,-0.0035108455033864326,-0.008210393123019182,0.995025203640045,0.99641512064417,0.9900000000000001,-0.0035539788537362,-0.0082335716791072,0.99495944831443
