x_m,rho_g_published,rho_p_published,u_g_published,u_p_published,p_g_published,T_p_published,rho_g_GPU_GKS_GKP,rho_p_GPU_GKS_GKP,u_g_GPU_GKS_GKP,u_p_GPU_GKS_GKP,p_g_GPU_GKS_GKP,T_p_GPU_GKS_GKP
0.3625,0.7244326699227579,0.43976295064558485,0.37097933595590143,0.130357752253561,0.7351499740081989,0.9572105125809592,0.72099062148707,0.438,0.37553381369598,0.13975526041172,0.70921114146617,1.0193347090846034
0.3675,0.7132967482952656,0.4366655636206838,0.38730189723614683,0.138900829332106,0.7201112752000963,0.9507995647474446,0.70971122205649,0.43524999999999997,0.39186565100267,0.15238044637788,0.6945091974191,1.0155495426244474
0.3725,0.7022132242552656,0.4337818366606838,0.4036282598991468,0.146976811520106,0.7053038122610964,0.9453081042884446,0.69868781048008,0.4345,0.40812867637176,0.15501005692034,0.68027063251667,1.0109007917231532
0.3775,0.6912657127252361,0.43028941493071116,0.4198923078846442,0.15506583631511894,0.6907688630850263,0.9392828914811016,0.68785500158172,0.429,0.4241902716485,0.16588095327558,0.66640295979132,1.0069641932692885
0.3825,0.6804519930927361,0.42619823630471115,0.43609505857514425,0.16316769077661894,0.6765019784675262,0.9327326406496016,0.67716175180743,0.4285,0.43989856729218,0.17309124824489,0.65282878763639,1.0025845102461008
0.3875,0.669817210070531,0.422852282116602,0.452098788745563,0.17141494615187156,0.6625923078363617,0.9258641388439263,0.66674106612888,0.42624999999999996,0.45536619173913,0.176480513027,0.6397321131238,0.9980813258103647
0.3925,0.659358442244531,0.420239385436602,0.46790674771056295,0.17980522854837155,0.6490340191263617,0.9186825819984263,0.65666941822022,0.42475,0.4705192487304,0.18809145845227,0.62720992033461,0.9940499045382467
0.3975,0.649215140696744,0.417660104015886,0.4831833412094733,0.1881351285057437,0.6360698595211937,0.9123580295621427,0.64693235586523,0.423,0.48499475873119,0.18763566343726,0.61523338617927,0.9893192356238847
0.4025,0.6393821549572439,0.415113889033886,0.49793724459697336,0.1964056318597437,0.6236901289536937,0.9068764896261426,0.63766849920973,0.42275,0.49856164627941,0.20286013455982,0.60397785415136,0.985624600353018
0.4075,0.6301852733528899,0.4126354217278975,0.5116216542192428,0.20479255255666443,0.6122936575036049,0.9018627786226442,0.62912791811588,0.41875,0.5110847927074,0.2062307322826,0.59376614608326,0.981160151520758
0.4125,0.6216141105098899,0.41022359601339753,0.5242540311992427,0.21329398990516443,0.6018643919606049,0.8973092585281441,0.62144000508447,0.4195,0.52215445820708,0.21066177763989,0.5847593029371,0.9770952213966793
0.4175,0.6139402165075979,0.40863249978024935,0.535158987354795,0.2208481475454708,0.5927240428634181,0.8942178743386301,0.61466551174054,0.41550000000000004,0.53139248399396,0.22111467848346,0.57702132049717,0.9734562246489914
0.4225,0.6071489420585978,0.40784873336324934,0.5443647254752949,0.22747049126897084,0.584851566677918,0.8925647544471301,0.6088735540537,0.419,0.53871302363368,0.22220839502493,0.57062162813776,0.9695262198005844
0.4275,0.6012621766600599,0.4068627582336059,0.5519348240795272,0.2336295809179998,0.5783164947478412,0.8906834031422737,0.60404076911881,0.41675,0.54430677822877,0.23013807413188,0.56553034372645,0.9663166720855012
0.4325,0.5962651528170598,0.40567787575810593,0.5578959874865271,0.23933297982449978,0.5730969919013412,0.8885775466512736,0.59996193859502,0.41974999999999996,0.54849268387658,0.23162562722543,0.56146324154325,0.962975309684448
0.4375,0.5918995786884335,0.4051921906732431,0.5624867110503324,0.24481706971126063,0.5686563628501179,0.8861602588498234,0.59635183528457,0.41974999999999996,0.55166881854087,0.23424546987566,0.55805402891268,0.9601459406538583
0.4425,0.5881551448909335,0.40539428751124307,0.5657293692993324,0.25008543113376064,0.5649818912871178,0.8834366243308235,0.59296698746058,0.42225,0.55423465740072,0.23839961002628,0.55498741285365,0.9577442586807801
0.4475,0.5847753073660816,0.40669586190259455,0.5681440635406216,0.2540712695452527,0.5619310097762323,0.8816290979739124,0.58967346888366,0.42025,0.55656617748096,0.24075617764466,0.5520824358594,0.9554060997557502
0.4525,0.5817541135215816,0.40907896319309456,0.5697443115541216,0.2567955240972527,0.5594935372552323,0.8807227229109125,0.5863869281407,0.42325,0.55882289725649,0.24491763456831,0.54925016615183,0.9537503843423947
0.4575,0.5786000101137884,0.4109723160156068,0.5714315102798649,0.2597130024547139,0.5570112595433162,0.880623796034026,0.58305872757554,0.42874999999999996,0.56106857536404,0.24405550744782,0.54641778912607,0.9521176249724213
0.4625,0.5753151670947884,0.4123839162636068,0.573204240114365,0.2628205499432139,0.5544849081538162,0.881319134515526,0.57964528196598,0.42700000000000005,0.56334767274169,0.25154040968716,0.54354194451244,0.950739228021961
0.4675,0.5719098263004647,0.4143566327607351,0.5752383051464488,0.2661580337610017,0.5518253687315529,0.881392519664135,0.57613243198856,0.43025,0.56565496356358,0.25407148904915,0.54061276697682,0.9499914989152713
0.4725,0.5683859550414648,0.4168813044252351,0.5775294386789489,0.2697216998455017,0.5490348157750529,0.880854105820135,0.57256922745973,0.435,0.56790099832779,0.25425182446336,0.53769292519433,0.9491227074569202
