x_m,rho_exact_kg_m3,rho_GPU_GKS_GKP_kg_m3,Ux_exact_m_s,Ux_GPU_GKS_GKP_m_s,p_exact_Pa,p_GPU_GKS_GKP_Pa
0.3125,0.7839599503019072,0.79349724062308,88.88983908036887,84.146969627554,71123.2227729241,72470.225554061
0.3175,0.7709707784188786,0.78223980523945,94.83423756439001,89.214006023849,69478.92409569642,71044.321583096
0.3225,0.758154350532789,0.77096393894158,100.77863604841116,94.34836231637,67867.31753979964,69624.048605934
0.3275,0.7455089378845422,0.75968488845463,106.72303453243231,99.544878054317,66287.85964351844,68211.410405781
0.3325,0.7330328232875704,0.74841640773817,112.66743301645344,104.7988319271,64740.01419674539,66808.184965988
0.3375,0.7207243010889715,0.73717089181619,118.6118315004746,110.10590282787,63223.25216816714,65415.945455521
0.3425,0.7085816771306463,0.72595950369304,124.55622998449576,115.46213231273,61737.05163293961,64036.079980298
0.3475,0.696603268710435,0.71479229332979,130.50062846851685,120.86388883865,60280.897700850335,62669.809973921
0.3525,0.6847874045432494,0.70367830825118,136.445026952538,126.30783395961,58854.28244496635,61318.207185352
0.3575,0.6731324247222117,0.69262569578492,142.38942543655915,131.79089050695,57456.70483076684,59982.209280785
0.3625,0.6616366806797878,0.68164179724252,148.33382392058027,137.31021266277,56087.670645757484,58662.634118312
0.3675,0.6502985351489248,0.6707332345678,154.27822240460142,142.86315774437,54746.69242956635,57360.192781815
0.3725,0.6391163621241888,0.65990599013216,160.2226208886226,148.44725944301,53433.28940451884,56075.501478812
0.3775,0.6280885468228941,0.64916548046849,166.16701937264375,154.06020219254,52146.98740668921,54809.092418853
0.3825,0.617213485646245,0.63851662483099,172.1114178566649,159.69979628084,50887.31881742947,53561.423799164
0.3875,0.6064895861404687,0.62796390952397,178.05581634068602,165.36395319835,49653.822495371394,52332.889012265
0.3925,0.5959152669579526,0.61751144927128,184.00021482470717,171.05066095428,48446.0437089017,51123.825370108
0.3975,0.5854889578183783,0.60716304586655,189.94461330872835,176.7579567395,47263.53406910772,49934.521315602
0.4025,0.5752090994698583,0.59692224884111,195.8890117927495,182.48390624159,46105.851463192805,48765.229966738
0.4075,0.565074143650071,0.58679241589439,201.83341027677056,188.22654661116,44972.559988358924,47616.146575339
