record_type,time_ms,experiment_surface_temperature_C,cold_wall_contact_layer_temperature_C,cold_wall_contact_layer_temperature_K,cold_enthalpy_equivalent_temperature_C,cold_enthalpy_equivalent_temperature_K,cold_axial_node_mean_temperature_C,cold_axial_node_mean_temperature_K,cold_free_surface_temperature_C,cold_free_surface_temperature_K,cold_profile_active,cold_wall_state,cold_contact_area_m2,cold_frozen_area_m2,cold_solidification_contact_age_s
coldWall,5.2490000000000006,,1184.5459937156324,1457.6959937156323,2048.676155643197,2321.826155643197,1819.2302836064678,2092.380283606468,2093.2652755063805,2366.4152755063806,1,1,0.0002656651777215302,0.0002656651777215302,0.005248724482953548
coldWall,5.2989999999999995,,1184.457227022781,1457.6072270227808,2048.6154465372806,2321.7654465372807,1817.5324283536124,2090.6824283536125,2093.124235970206,2366.274235970206,1,1,0.0002656651777215302,0.0002656651777215302,0.005298713222146034
coldWall,5.349,,1184.3013943440692,1457.451394344069,2048.5550063267196,2321.7050063267197,1815.8929640153324,2089.0429640153325,2092.9831960329443,2366.1331960329444,1,1,0.0002656651777215302,0.0002656651777215302,0.00534870196133852
coldWall,5.399,,1184.080263157895,1457.2302631578948,2048.494837377576,2321.644837377576,1814.3097307056833,2087.4597307056833,2092.8421556945955,2365.9921556945956,1,1,0.0002656651777215302,0.0002656651777215302,0.005398690700531006
coldWall,5.449,,1183.7967792615868,1456.9467792615867,2048.434941265343,2321.584941265343,1812.7806390261735,2085.9306390261736,2092.7011149551595,2365.8511149551596,1,1,0.0002656651777215302,0.0002656651777215302,0.005448679439723492
coldWall,5.4990000000000006,,1183.4545758051845,1456.6045758051846,2048.375276680513,2321.525276680513,1811.3022918940792,2084.4522918940793,2092.5531047114396,2365.7031047114397,1,1,0.0002656651777215302,0.0002656651777215302,0.0054986681789159775
coldWall,5.549,,1183.0575805184603,1456.2075805184604,2048.315859404366,2321.4658594043663,1809.8736899426458,2083.023689942646,2092.4037665736228,2365.553766573623,1,1,0.0002656651777215302,0.0002656651777215302,0.005548656918108463
coldWall,5.599,,1182.6104084838962,1455.7604084838963,2048.2567062701814,2321.4067062701815,1808.4937783801893,2081.6437783801894,2092.254427985606,2365.404427985606,1,1,0.0002656651777215302,0.0002656651777215302,0.005598645657300949
coldWall,5.649,,1182.1173802042422,1455.267380204242,2048.197829375806,2321.347829375806,1807.161671845603,2080.311671845603,2092.105088948299,2365.255088948299,1,1,0.0002656651777215302,0.0002656651777215302,0.005648634396493435
coldWall,5.699,,1181.583208955224,1454.733208955224,2048.1392271377663,2321.2892271377664,1805.87582871337,2079.02582871337,2091.9557494598826,2365.1057494598826,1,1,0.0002656651777215302,0.0002656651777215302,0.005698623135685921
coldWall,5.749,,1181.0125098193244,1454.1625098193244,2048.080900866809,2321.230900866809,1804.6350638351273,2077.7850638351274,2091.8064095221757,2364.956409522176,1,1,0.0002656651777215302,0.0002656651777215302,0.0057486118748784065
coldWall,5.799,,1180.4100942655145,1453.5600942655146,2048.022834509262,2321.172834509262,1803.437451635311,2076.587451635311,2091.6532526516653,2364.8032526516654,1,1,0.0002656651777215302,0.0002656651777215302,0.005798600614070892
coldWall,5.849,,1179.7804791830322,1452.9304791830323,2047.965002277349,2321.115002277349,1802.2809162759554,2075.4309162759555,2091.495615075471,2364.645615075471,1,1,0.0002656651777215302,0.0002656651777215302,0.005848589353263378
coldWall,5.899000000000001,,1179.1280832678713,1452.2780832678711,2047.9074423155107,2321.057442315511,1801.165851625689,2074.315851625689,2091.3379769972357,2364.487976997236,1,1,0.0002656651777215302,0.0002656651777215302,0.005898578092455864
coldWall,5.949000000000001,,1178.4573252160253,1451.6073252160252,2047.8501548825834,2321.0001548825835,1800.0912119329432,2073.2412119329433,2091.180338417869,2364.330338417869,1,1,0.0002656651777215302,0.0002656651777215302,0.00594856683164835
coldWall,5.999,,1177.772329143755,1450.922329143755,2047.7931360281718,2320.943136028172,1799.0557673339313,2072.2057673339314,2091.022699336461,2364.172699336461,1,1,0.0002656651777215302,0.0002656651777215302,0.005998555570840836
coldWall,6.049,,1177.077120974077,1450.227120974077,2047.736354966707,2320.886354966707,1798.0574187915854,2071.2074187915855,2090.8650597539213,2364.0150597539214,1,1,0.0002656651777215302,0.0002656651777215302,0.006048544310033321
coldWall,6.099,,1176.3750392772977,1449.5250392772978,2047.6798177461624,2320.8298177461625,1797.0955031593348,2070.245503159335,2090.70741967025,2363.8574196702502,1,1,0.0002656651777215302,0.0002656651777215302,0.006098533049225807
coldWall,6.149,,1175.6680479183033,1448.8180479183031,2047.623533047742,2320.773533047742,1796.1693688576283,2069.3193688576284,2090.5476218940726,2363.6976218940727,1,1,0.0002656651777215302,0.0002656651777215302,0.006148521788418293
coldWall,6.199000000000001,,1174.9610565593089,1448.1110565593087,2047.5674882380495,2320.7174882380496,1795.2777294906941,2068.427729490694,2090.381683887242,2363.5316838872423,1,1,0.0002656651777215302,0.0002656651777215302,0.006198510527610779
coldWall,6.2490000000000006,,1174.2588766692852,1447.408876669285,2047.511682260364,2320.661682260364,1794.419775468737,2067.569775468737,2090.215745323801,2363.365745323801,1,1,0.0002656651777215302,0.0002656651777215302,0.006248499266803265
coldWall,6.2989999999999995,,1173.5619992144539,1446.711999214454,2047.4561311639645,2320.6061311639646,1793.5952743356115,2066.7452743356116,2090.0498062046586,2363.1998062046587,1,1,0.0002656651777215302,0.0002656651777215302,0.00629848800599575
