time_s,deposited_heat_flux_density_W_m2,reflected_heat_flux_density_W_m2,total_heat_flux_density_W_m2,deposited_particle_count,total_heat_transfer_area_m2,area_scale_coefficient
3.2600000512866409,174759.530226,768616.412064,943375.94229,230,4.2428686697348894e-07,1.8447255085803868e-09
3.2699999811702454,176992.843195,914122.900007,1091115.743202,234,4.015518015876296e-07,1.7160333401180752e-09
3.2799999589511404,188661.814721,832927.497594,1021589.312315,245,4.034655489704164e-07,1.6467981590629241e-09
3.2900000447078139,198220.022882,683280.57078,881500.5936619999,261,4.3243375102974824e-07,1.656834295133135e-09
3.2999999442216637,199109.940534,698017.668753,897127.609287,264,3.594460054046067e-07,1.361537899259874e-09
3.3100000200570006,170653.605311,784887.92855,955541.533861,233,3.8985319861239986e-07,1.67318969361545e-09
3.3199999454272531,151297.677997,554871.851287,706169.5292839999,244,2.704585426727135e-07,1.1084366502980062e-09
3.3299999818466763,138243.749438,986019.948958,1124263.698396,252,4.593744336034433e-07,1.822914419061283e-09
3.3399999785706065,149895.040867,996653.436202,1146548.477069,227,4.634486288068729e-07,2.0416239154487794e-09
3.3499999577879067,157811.007016,721763.289204,879574.29622,223,3.507347798858973e-07,1.5728017035242031e-09
3.3599999629025654,158853.860467,657144.713275,815998.5737419999,220,3.300526998373243e-07,1.5002395447151106e-09
3.3699999844518378,184013.229695,810407.63767,994420.867365,231,4.604556806953042e-07,1.993314635044607e-09
3.3800000201635969,218161.781967,709000.69601,927162.477977,263,4.238361555053416e-07,1.6115443175108045e-09
3.389999943317147,234733.535302,775353.72098,1010087.256282,268,4.3796751469926676e-07,1.634207144400249e-09
3.3999999817619448,208549.912407,620315.709591,828865.621998,267,4.3068575905635953e-07,1.6130552773646424e-09
3.4099999383949817,205593.002963,792713.358066,998306.361029,245,3.984571605997189e-07,1.6263557575498731e-09
3.4200000392351098,203765.882459,696526.493016,900292.375475,188,3.6524508573165804e-07,1.942793009210947e-09
3.4299999413822708,177200.967307,684435.421403,861636.3887100001,201,2.8781363425878226e-07,1.4319086281531455e-09
3.4399999398660399,178593.876836,777696.196754,956290.07359,237,3.2081268841466226e-07,1.353640035504904e-09
3.4500000382941924,202368.248303,687099.885423,889468.133726,221,3.548034044342785e-07,1.6054452689333869e-09
3.4599999921243989,189641.006135,762078.849642,951719.8557770001,209,3.5348247706679103e-07,1.6913037180229235e-09
3.4699999976458327,186149.501225,899629.420109,1085778.921334,223,2.714120341806847e-07,1.2170943236802006e-09
3.4800000438317054,194348.944822,834053.266114,1028402.210936,225,4.2021059698527097e-07,1.867602653267871e-09
3.4899999432236237,179878.364856,879160.097173,1059038.462029,231,2.6107352368853753e-07,1.1301884142360932e-09
3.5000000203999986,164754.942025,805431.233803,970186.175828,249,3.193540578649845e-07,1.2825464171284519e-09
3.5100000361194565,151650.980303,655041.214889,806692.195192,223,2.7387116574573156e-07,1.2281218194875855e-09
3.5200000630248645,138019.936602,654690.643813,792710.580415,211,2.635710814047343e-07,1.2491520445722005e-09
3.5300000484955349,168918.879865,1102463.58236,1271382.462225,245,4.396033546072431e-07,1.7942994065601758e-09
3.5399999557397348,205861.883008,885454.531146,1091316.414154,253,4.2742539108076016e-07,1.6894284232441114e-09
3.5500000559824714,225546.692526,664255.273609,889801.966135,235,3.507445285322319e-07,1.4925299086477955e-09
3.5599999570442149,212729.388151,768018.102093,980747.490244,249,3.656683418284956e-07,1.468547557544159e-09
3.5699999411155479,173701.843669,623738.430273,797440.273942,217,2.627078856676235e-07,1.2106354178231497e-09
3.5800000304005732,152502.955968,741982.776564,894485.732532,247,3.0623959901276976e-07,1.23983643325008e-09
3.5900000139796417,173400.845562,1006666.60294,1180067.448502,255,4.783373697136994e-07,1.8758328224066645e-09
3.5999999920121155,191652.904938,778192.585012,969845.4899500001,268,3.96916107092693e-07,1.4810302503458693e-09
3.6099999452176679,191407.532297,666870.98811,858278.5204070001,247,3.5753794236370595e-07,1.4475220338611576e-09
3.6200000455341432,175759.708949,632259.52026,808019.229209,224,3.759377023015986e-07,1.6782933138464224e-09
3.6299999668705802,170854.544163,655317.779382,826172.323545,225,3.4595115039337543e-07,1.537560668415002e-09
3.6400000236885859,173411.562181,742268.231643,915679.793824,228,3.2521091952730785e-07,1.426363682137315e-09
3.6500000196373414,170802.657901,260578.045637,431380.703538,169,3.9773647131369216e-07,2.353470244459717e-09
3.6599999680483433,170455.877869,0.0,170455.877869,169,3.9647085259275627e-07,2.3459813762884986e-09
3.6699999882104088,163116.904167,403214.192282,566331.096449,256,4.417142349666392e-07,1.7254462303384344e-09
3.6799999806676169,173901.126732,1195347.68069,1369248.807422,273,5.369946620703558e-07,1.9670134141771276e-09
3.6900000406498035,180707.521157,1087685.3447,1268392.865857,278,4.310985559641267e-07,1.5507142300867867e-09
3.7000000390195416,163362.716302,912005.027558,1075367.7438599998,244,2.6772511318995384e-07,1.0972340704506305e-09
3.7100000604679,142547.776317,852069.278869,994617.0551860001,238,3.741871807960706e-07,1.5722150453616412e-09
3.7199999456850454,152839.054429,903203.646977,1056042.7014060002,241,4.6391346586460713e-07,1.924952140517042e-09
3.72999998086607,154457.076771,889937.444444,1044394.521215,241,4.3370641833462287e-07,1.7996116943345348e-09
3.7400000234239354,185807.047119,906189.397688,1091996.444807,214,3.944397519717313e-07,1.8431764110828565e-09
3.7500000440340835,184347.172024,798566.116249,982913.2882729999,248,3.5685059174284106e-07,1.4389136763824236e-09
3.7599999743960013,176465.389935,849959.139726,1026424.529661,234,3.5884499993699137e-07,1.5335256407563733e-09
3.7699999907728965,155897.435721,815480.225087,971377.660808,233,3.2646460113028297e-07,1.4011356271685965e-09
3.7799999696010556,152626.75643,685929.566401,838556.322831,243,4.098236843219638e-07,1.6865172194319497e-09
3.7900000299862069,174228.719141,676514.510327,850743.2294680001,256,3.3501015650472254e-07,1.3086334238465724e-09
3.8000000020982037,190939.740515,862108.199921,1053047.940436,248,4.1401301587029593e-07,1.6694073220576448e-09
