r_m,cpu_pressure_pa,cpu_mach,tadmor_pressure_pa,tadmor_mach,kurganov_pressure_pa,kurganov_mach,hlle_pressure_pa,hlle_mach,hllc_pressure_pa,hllc_mach,roe_pressure_pa,roe_mach,hllem_pressure_pa,hllem_mach,hllc_adc_pressure_pa,hllc_adc_mach,slau2_pressure_pa,slau2_mach,slau2_2_pressure_pa,slau2_2_mach
0.0159147154812,88261.9481215,3.02598220358014,89634.139431505,2.94871048577187,86344.434790359,3.01187849480674,86338.076931201,3.01219507217114,86602.536313023,3.00618320568282,86262.843191443,3.0155889908995,86224.761364302,3.02155130496013,86644.447707129,3.00607081008071,88252.144365981,2.97721362208885,88495.439441954,2.97634821080878
0.0160692175732,88283.9273191,3.02590303233777,89638.722257869,2.94858005851119,86347.281018733,3.01180206479212,86340.854743171,3.01211793068125,86608.074816936,3.00624545097193,86243.367991066,3.01604489827706,86228.381773088,3.02141288541183,86644.540157973,3.00622138175161,88238.323497541,2.9781069600537,88456.980897398,2.97744952126296
0.0162237196653,88306.0007938,3.02582496303145,89643.321507062,2.94844984248419,86350.128488365,3.01172624473791,86343.633463668,3.01204139725477,86613.613754299,3.00630887090086,86223.807394502,3.01650271472794,86231.995687794,3.02127500801398,86644.609726036,3.00637347056765,88224.266791361,2.97900656342191,88418.224703326,2.97855685752449
0.0163782217573,88328.0742685,3.02574823345688,89647.920756254,2.94832019160675,86352.975957997,3.01165099483412,86346.412184165,3.01196543408444,86619.152691663,3.00637287834476,86204.246797938,3.0169611943454,86235.6096025,3.02113770889436,86644.679294099,3.00652613346779,88210.210085181,2.97990692223983,88379.468509254,2.97966535079942
0.0165327238494,88350.1477432,3.02567284360144,89652.520005447,2.94819110592013,86355.823427629,3.01157631513436,86349.190904662,3.01189004122349,86624.691629026,3.00643747327106,86184.686201373,3.01742033752108,86239.223517206,3.02100098797301,86644.748862162,3.00667937052908,88196.153379002,2.98080803682496,88340.712315182,2.98077500231515
0.0166872259414,88372.2212178,3.02559879350205,89657.11925464,2.9480625854652,86358.670897261,3.01150220569151,86351.969625159,3.01181521872453,86630.23056639,3.00650265564632,86165.125604809,3.01788014464671,86242.837431913,3.02086484516966,86644.818430225,3.00683318182852,88182.096672822,2.98170990749447,88301.95612111,2.98188581330083
0.0168417280335,88394.2946925,3.0255260831518,89661.718503832,2.94793463028206,86361.518366894,3.01142866655859,86354.748345656,3.0117409666402,86635.769503754,3.00656842543731,86145.565008245,3.01834061611368,86246.451346619,3.02072928040362,86644.887998288,3.00698756744287,88168.039966642,2.98261253456475,88263.199927038,2.98299778498613
0.0169962301255,88416.3681672,3.02545471254705,89666.317753025,2.94780724041127,86364.365836526,3.01135569778785,86357.527066153,3.01166728502282,86641.308441117,3.00663478260998,86126.004411681,3.01880175231368,86250.065261325,3.02059429359411,86644.957566352,3.00714252744788,88153.983260463,2.98351591835253,88224.443732966,2.98411091860229
0.0171507322176,88423.3165687,3.02537685178747,89664.991886968,2.94775929134886,86365.062998359,3.01126437528485,86358.22948203,3.01157574946121,86645.767388478,3.00659487379326,86112.804301468,3.01921648378658,86253.168844882,3.02045570571441,86649.190493959,3.00709540558644,88133.284092648,2.98452615430586,88187.416952986,2.98515481762463
0.0173052343096,88419.8053457,3.02529492301895,89659.568554426,2.94776647092794,86364.273131877,3.01116055532583,86357.496045906,3.0114720620358,86649.479477314,3.00648167249066,86104.002735174,3.01959933241273,86255.919512979,3.02031481664603,86656.302559859,3.0069087565117,88107.991383142,2.98561071550838,88151.586135612,2.98615114704731
