record_type,time_ms,experiment_beta,cold_beta,cold_wall_state,cold_contact_area_m2,cold_frozen_area_m2
coldWall,2.7489999999999997,,4.041292186683369,3,0.0003206789053497618,0.0002656651777215302
coldWall,2.7990000000000004,,4.003060810189784,3,0.00031464024025051846,0.0002656651777215302
coldWall,2.8489999999999998,,3.9637596511791586,3,0.0003084924324979228,0.0002656651777215302
coldWall,2.8989999999999996,,3.9233992125378583,3,0.0003022420534414144,0.0002656651777215302
coldWall,2.9490000000000003,,3.8819902802353434,3,0.00029589578406819455,0.0002656651777215302
coldWall,2.999,,3.839543920441707,3,0.0002894604078619642,0.0002656651777215302
coldWall,3.0489999999999995,,3.7960714765703463,3,0.0002829428035521062,0.0002656651777215302
coldWall,3.099,,3.751584566246531,3,0.0002763499377610574,0.0002656651777215302
coldWall,3.149,,3.7060950782026985,3,0.00026968885755773497,0.0002656651777215302
coldWall,3.1989999999999994,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.249,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.299,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.3489999999999998,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.399,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.449,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.4990000000000006,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.549,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.5989999999999998,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.6490000000000005,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.699,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.7489999999999997,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.7990000000000004,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.849,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.8990000000000005,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.9490000000000003,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,3.999,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.049,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.099,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.149,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.199000000000001,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.2490000000000006,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.2989999999999995,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.349,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.399,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.449,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.4990000000000006,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.549,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.599,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
coldWall,4.649,,3.678344246718337,3,0.0002656651777215302,0.0002656651777215302
