temperature_component,time_s,particle_count,temperature_median_K,temperature_mean_K,temperature_p25_K,temperature_p75_K
bottomLayer,1.7700000038023469,1921,2805.13309351,2840.61108657,2783.8774063,2888.06833363
topLayer,1.7700000038023469,1921,2971.54576529,2988.59458982,2944.21498504,3024.89592452
enthalpyMean,1.7700000038023469,1921,2897.45018002,2941.46753982,2867.68497563,3004.35188982
bottomLayer,1.7799999765040364,1905,2804.74789732,2840.53005025,2782.61567846,2891.95020322
topLayer,1.7799999765040364,1905,2973.26106696,2988.90392499,2944.63486491,3025.85190385
enthalpyMean,1.7799999765040364,1905,2897.3103075,2940.91888309,2867.54567701,3009.20137546
bottomLayer,1.789999969944541,1882,2803.75693278,2839.5420886,2782.51086213,2888.90738902
topLayer,1.789999969944541,1882,2974.19000022,2988.91891204,2945.86422341,3027.2345865
enthalpyMean,1.789999969944541,1882,2895.51589882,2939.07825958,2867.54929089,3005.41572354
bottomLayer,1.7999999694199884,1841,2803.08865797,2837.86451272,2781.59054227,2883.28495467
topLayer,1.7999999694199884,1841,2971.22774611,2987.25028122,2944.93009083,3022.60595417
enthalpyMean,1.7999999694199884,1841,2893.26007339,2937.06540529,2867.15636158,3000.1477713
bottomLayer,1.8099999947099925,1819,2802.0563754,2831.34122525,2779.06677468,2873.4394113
topLayer,1.8099999947099925,1819,2945.25647747,2960.89200969,2927.17834571,2984.41434275
enthalpyMean,1.8099999947099925,1819,2886.77737537,2926.24743852,2863.5766532,2983.13930245
bottomLayer,1.8199999938272469,1786,2800.51004992,2825.73759407,2774.19898404,2860.44060447
topLayer,1.8199999938272469,1786,2929.53666136,2945.01122706,2913.16077955,2964.17449679
enthalpyMean,1.8199999938272469,1786,2879.31372968,2917.18980008,2859.03129817,2965.83816185
bottomLayer,1.82999997029696,1797,2800.12893034,2828.84531165,2771.31267755,2871.24155875
topLayer,1.82999997029696,1797,2936.17327895,2959.15556379,2921.80108915,2977.31795477
enthalpyMean,1.82999997029696,1797,2880.04454285,2921.50318192,2858.68463366,2975.80538865
bottomLayer,1.8400000071902864,1810,2800.3707286,2831.79587777,2770.95437695,2880.55536639
topLayer,1.8400000071902864,1810,2948.73588904,2972.17040647,2931.6977517,2992.18745455
enthalpyMean,1.8400000071902864,1810,2882.06777205,2926.94065558,2860.33833332,2986.89852079
bottomLayer,1.8499999910801757,1791,2800.61384159,2834.6871078,2770.55772556,2892.00389099
topLayer,1.8499999910801757,1791,2961.3173236,2982.26418191,2941.50503516,3004.5507666
enthalpyMean,1.8499999910801757,1791,2883.0465127,2931.86071744,2861.76641363,2999.16066391
bottomLayer,1.8600000277826365,1756,2800.85103187,2838.75950285,2773.04678554,2903.89407098
topLayer,1.8600000277826365,1756,2975.61262645,2992.24794707,2951.59230362,3027.1098126
enthalpyMean,1.8600000277826365,1756,2885.7813016,2936.80298132,2863.68934949,3011.35469567
bottomLayer,1.8699999862961931,1691,2800.76714362,2837.79627068,2771.4650818,2902.60335191
topLayer,1.8699999862961931,1691,2976.74984631,2994.24737358,2955.12317579,3031.42775975
enthalpyMean,1.8699999862961931,1691,2888.3018257,2937.67139856,2863.8539579,3012.14107842
bottomLayer,1.8799999654623909,1631,2800.62436878,2835.86363085,2771.31942549,2897.75290485
topLayer,1.8799999654623909,1631,2980.85988228,2994.47001983,2955.1154687,3031.46590915
enthalpyMean,1.8799999654623909,1631,2890.21372689,2937.11768693,2864.27401906,3011.85525618
bottomLayer,1.8900000172808737,1619,2801.63299522,2841.62784904,2772.88887253,2906.41434033
topLayer,1.8900000172808737,1619,2985.38518722,2999.38171781,2958.77308667,3034.49533812
enthalpyMean,1.8900000172808737,1619,2895.79466846,2941.89093654,2865.1959399,3021.14781205
bottomLayer,1.899999977555995,1576,2804.33046102,2845.16156178,2772.8395812,2908.41705476
topLayer,1.899999977555995,1576,2992.70901651,3003.67238585,2962.33312951,3037.41563421
enthalpyMean,1.899999977555995,1576,2900.56848066,2946.18788857,2865.58370997,3029.83413597
bottomLayer,1.9099999926702389,1554,2809.24079099,2840.29657404,2772.09049446,2905.76286426
topLayer,1.9099999926702389,1554,2961.83281221,2972.59496271,2935.57993345,3002.00478924
enthalpyMean,1.9099999926702389,1554,2899.38438651,2937.05867593,2860.13773345,3015.30695874
bottomLayer,1.919999980628496,1545,2805.56861491,2836.95800458,2766.08159869,2895.87380066
topLayer,1.919999980628496,1545,2952.02253512,2959.14097753,2915.56890597,2984.99580285
enthalpyMean,1.919999980628496,1545,2895.80583234,2931.67061385,2855.16724934,3003.46103011
bottomLayer,1.9299999872142815,1567,2807.69814152,2838.53611039,2763.53021599,2904.06642634
topLayer,1.9299999872142815,1567,2969.84056877,2975.76385447,2934.51133608,2999.53535804
enthalpyMean,1.9299999872142815,1567,2901.6941075,2937.46150815,2856.29586885,3014.85802525
bottomLayer,1.9399999946234745,1614,2816.732161,2843.63907559,2762.26147209,2911.89623501
topLayer,1.9399999946234745,1614,2982.39606025,2992.31624999,2953.53089908,3020.38629932
enthalpyMean,1.9399999946234745,1614,2914.06924605,2945.20463059,2857.50152016,3029.49225304
bottomLayer,1.9500000228004508,1652,2828.87926147,2848.95509,2765.12624466,2926.69006374
topLayer,1.9500000228004508,1652,2991.66015203,3001.79561308,2962.93115909,3037.45222377
enthalpyMean,1.9500000228004508,1652,2929.13634207,2952.5509169,2861.02235472,3042.80776951
bottomLayer,1.9599999926227714,1628,2826.64246149,2845.31046057,2766.32150421,2917.28645085
topLayer,1.9599999926227714,1628,2996.40796909,3006.83996324,2971.91222248,3042.26683852
enthalpyMean,1.9599999926227714,1628,2928.73536487,2951.47605694,2863.91326279,3033.99475565
bottomLayer,1.9700000327608738,1614,2826.82872816,2848.59774271,2767.84600922,2919.3058802
topLayer,1.9700000327608738,1614,2996.54478006,3006.95197284,2970.45785263,3040.68943828
enthalpyMean,1.9700000327608738,1614,2925.88986846,2952.59417231,2865.25787081,3035.14931911
bottomLayer,1.9800000264874242,1604,2830.05088884,2852.5276788,2771.33645991,2926.23795796
